"TOA5","CR6_HU","CR6","1449","CR6.Std.01","CPU:Tower2irrad.CR6","35696","TableHour"
"TIMESTAMP","RECORD","PAR_Den_Hst(1)","PAR_Den_Hst(2)","PAR_Den_Hst(3)","PAR_Den_Hst(4)","PAR_Den_Hst(5)","PAR_Den_Hst(6)","PAR_Den_Hst(7)","PAR_Den_Hst(8)","PAR_Den_Hst(9)","PAR_Den_Hst(10)","PAR_Den_Hst(11)","PAR_Den_Hst(12)","PAR_Den_Hst(13)","PAR_Den_Hst(14)","PAR_Den_Hst(15)","PAR_Den_Hst(16)","PAR_Den_Hst(17)","PAR_Den_Hst(18)","PAR_Den_Hst(19)","PAR_Den_Hst(20)","PAR_Den_Hst(21)","PAR_Den_Hst(22)","PAR_Den_Hst(23)","PAR_Den_Hst(24)","PAR_Den_Hst(25)","PAR_BF_tot_Hst(1)","PAR_BF_tot_Hst(2)","PAR_BF_tot_Hst(3)","PAR_BF_tot_Hst(4)","PAR_BF_tot_Hst(5)","PAR_BF_tot_Hst(6)","PAR_BF_tot_Hst(7)","PAR_BF_tot_Hst(8)","PAR_BF_tot_Hst(9)","PAR_BF_tot_Hst(10)","PAR_BF_tot_Hst(11)","PAR_BF_tot_Hst(12)","PAR_BF_tot_Hst(13)","PAR_BF_tot_Hst(14)","PAR_BF_tot_Hst(15)","PAR_BF_tot_Hst(16)","PAR_BF_tot_Hst(17)","PAR_BF_tot_Hst(18)","PAR_BF_tot_Hst(19)","PAR_BF_tot_Hst(20)","PAR_BF_tot_Hst(21)","PAR_BF_tot_Hst(22)","PAR_BF_tot_Hst(23)","PAR_BF_tot_Hst(24)","PAR_BF_tot_Hst(25)","PAR_BF_diff_Hst(1)","PAR_BF_diff_Hst(2)","PAR_BF_diff_Hst(3)","PAR_BF_diff_Hst(4)","PAR_BF_diff_Hst(5)","PAR_BF_diff_Hst(6)","PAR_BF_diff_Hst(7)","PAR_BF_diff_Hst(8)","PAR_BF_diff_Hst(9)","PAR_BF_diff_Hst(10)","PAR_BF_diff_Hst(11)","PAR_BF_diff_Hst(12)","PAR_BF_diff_Hst(13)","PAR_BF_diff_Hst(14)","PAR_BF_diff_Hst(15)","Solar_irrad_Hst(1)","Solar_irrad_Hst(2)","Solar_irrad_Hst(3)","Solar_irrad_Hst(4)","Solar_irrad_Hst(5)","Solar_irrad_Hst(6)","Solar_irrad_Hst(7)","Solar_irrad_Hst(8)","Solar_irrad_Hst(9)","Solar_irrad_Hst(10)","Solar_irrad_Hst(11)","Solar_irrad_Hst(12)","Solar_irrad_Hst(13)","Solar_irrad_Hst(14)","Solar_irrad_Hst(15)","Solar_irrad_Hst(16)","Solar_irrad_Hst(17)","Solar_irrad_Hst(18)","Solar_irrad_Hst(19)","Solar_irrad_Hst(20)","Solar_irrad_Hst(21)","Solar_irrad_Hst(22)","Solar_irrad_Hst(23)","Solar_irrad_Hst(24)","Solar_irrad_Hst(25)","PAR_DenLog_Hst(1)","PAR_DenLog_Hst(2)","PAR_DenLog_Hst(3)","PAR_DenLog_Hst(4)","PAR_DenLog_Hst(5)","PAR_DenLog_Hst(6)","PAR_DenLog_Hst(7)","PAR_DenLog_Hst(8)","PAR_DenLog_Hst(9)","PAR_DenLog_Hst(10)","PAR_DenLog_Hst(11)","PAR_DenLog_Hst(12)","PAR_BF_totLog_Hst(1)","PAR_BF_totLog_Hst(2)","PAR_BF_totLog_Hst(3)","PAR_BF_totLog_Hst(4)","PAR_BF_totLog_Hst(5)","PAR_BF_totLog_Hst(6)","PAR_BF_totLog_Hst(7)","PAR_BF_totLog_Hst(8)","PAR_BF_totLog_Hst(9)","PAR_BF_totLog_Hst(10)","PAR_BF_totLog_Hst(11)","PAR_BF_totLog_Hst(12)","PAR_BF_diffLog_Hst(1)","PAR_BF_diffLog_Hst(2)","PAR_BF_diffLog_Hst(3)","PAR_BF_diffLog_Hst(4)","PAR_BF_diffLog_Hst(5)","PAR_BF_diffLog_Hst(6)","PAR_BF_diffLog_Hst(7)","PAR_BF_diffLog_Hst(8)","PAR_BF_diffLog_Hst(9)","PAR_BF_diffLog_Hst(10)","PAR_BF_diffLog_Hst(11)","PAR_BF_diffLog_Hst(12)","Solar_irradLog_Hst(1)","Solar_irradLog_Hst(2)","Solar_irradLog_Hst(3)","Solar_irradLog_Hst(4)","Solar_irradLog_Hst(5)","Solar_irradLog_Hst(6)","Solar_irradLog_Hst(7)","Solar_irradLog_Hst(8)","Solar_irradLog_Hst(9)","Solar_irradLog_Hst(10)","PAR_Den_Avg","PAR_DenSqr_Avg","PAR_Den_Std","PAR_BF_tot_Avg","PAR_BF_totSqr_Avg","PAR_BF_tot_Std","PAR_BF_diff_Avg","PAR_BF_diffSqr_Avg","PAR_BF_diff_Std","Solar_irrad_Avg","Solar_irradSqr_Avg","Solar_irrad_Std"
"TS","RN","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","µmol/s/m²","sqr_µmol/s/m²","µmol/s/m²","µmol/s/m²","sqr_µmol/s/m²","µmol/s/m²","µmol/s/m²","sqr_µmol/s/m²","µmol/s/m²","W/m²","sqr_W/m²","W/m²"
"","","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Avg","Avg","Std","Avg","Avg","Std","Avg","Avg","Std","Avg","Avg","Std"
"2015-08-19 16:00:00",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0,0,0,0,0,0,0,0,0,0,0.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.049,0,0,0,0,0,0,0,0,0,0.683,0,0,0.024,0,0,0.024,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.829,0.171,0,0,0,0,0,0,0.829,0,0,0,0,0.171,0,0,0,0,0,0,0,0,0,1,1092.338,1193203,1.072395,959.1836,1111561,437.6383,141.7003,24527.35,66.69614,428.0013,316837.8,365.5854
"2015-08-19 17:00:00",1,0,0,0,0,0,0,0,0,0.06,0.498,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.481,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0.507,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558,0.442,0,0,0,0,0,0,0,0,0,0,0.275,0.725,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,987.4731,978277.8,56.34538,1045.813,1097281,59.64487,168.8388,28507.34,0.8853684,512.8383,263882.2,29.64951
"2015-08-19 18:00:00",2,0,0,0,0,0,0,0.215,0.411,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0.375,0.366,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.387,0.378,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.719,0.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532,0.468,768.7963,595831,69.16138,806.4406,656546.8,78.74305,155.4975,24216.32,6.069647,396.2412,158408.3,37.43187
"2015-08-19 19:00:00",3,0,0,0,0.045,0.396,0.378,0.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0.511,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0.373,0.375,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.904,0.059,0,0,0,0,0,0,0,0,0,0,0.952,0.048,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354,0.646,0,515.5027,271162.8,73.61913,535.8068,291427.4,65.86799,136.4204,18647.12,6.04938,259.7875,69032.94,39.28614
"2015-08-19 20:00:00",4,0,0.211,0.433,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236,0.369,0.352,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386,0.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.427,0.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.422,0.563,0,0,0,0,0,0,0,0,0,0.083,0.344,0.523,0.05,0,0,0,0,0,0,0,0.386,0.614,0,0,0,0,0,0,0,0,0,0,0,0.139,0.485,0.376,0,0,267.7036,76277.36,67.91268,272.585,80509.54,78.7844,105.4158,11294.59,13.49449,128.3075,17735.91,35.68027
"2015-08-19 21:00:00",5,0.849,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0.12,0.171,0.257,0.231,0.151,0,0,0,0,0,0,0.089,0.132,0.156,0.261,0.22,0.143,0,0,0,0,0,0,0.096,0.132,0.246,0.344,0.183,0,0,0,0,0,0,0,0.074,0.13,0.175,0.303,0.214,0.104,0,0,0,0,58.71368,4800.532,36.78637,55.32664,4262.239,34.65837,42.91489,2230.239,19.71171,22.17109,826.2023,18.2933
"2015-08-19 22:00:00",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914,0,0,0,0,0,0,0,0,0,0,0.086,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.914,0,0,0,0,0,0,0,0,0.086,2.68155,17.49261,3.209658,2.669989,14.44272,2.704417,2.775705,15.00706,2.702318,-3.622234,14.59286,1.213376
"2015-08-19 23:00:00",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0539475,0.003143507,0.01527003,0.7217066,0.5210099,0.01223124,0.814104,0.6628994,0.01158104,-4.20415,17.80929,0.3666247
